Time(s),Angle(rad),Angular Velocity(rad/s)
0.010000,0.001205,0.000000
0.020000,0.004819,0.241000
0.030000,0.010840,0.481836
0.040000,0.019265,0.722387
0.050000,0.030088,0.962533
0.060000,0.043305,1.202154
0.070000,0.058907,1.441130
0.080000,0.076887,1.679343
0.090000,0.097236,1.916672
0.100000,0.119942,2.153001
0.110000,0.144994,2.388209
0.120000,0.172378,2.622181
0.130000,0.202082,2.854799
0.140000,0.234089,3.085947
0.150000,0.268384,3.315511
0.160000,0.304948,3.543375
0.170000,0.343763,3.769426
0.180000,0.384809,3.993551
0.190000,0.428065,4.215638
0.200000,0.473509,4.435578
0.210000,0.521118,4.653259
0.220000,0.570868,4.868575
0.230000,0.622734,5.081417
0.240000,0.676688,5.291679
0.250000,0.732705,5.499258
0.260000,0.790755,5.704049
0.270000,0.850809,5.905951
0.280000,0.912837,6.104863
0.290000,0.976807,6.300686
0.300000,1.042687,6.493324
0.310000,1.110443,6.682680
0.320000,1.180043,6.868660
0.330000,1.251449,7.051172
0.340000,1.324627,7.230126
0.350000,1.399539,7.405431
0.360000,1.476148,7.577003
0.370000,1.554415,7.744754
0.380000,1.634300,7.908603
0.390000,1.715764,8.068467
0.400000,1.798765,8.224268
0.410000,1.883261,8.375929
0.420000,1.969211,8.523374
0.430000,2.056570,8.666531
0.440000,2.145295,8.805328
0.450000,2.235341,8.939698
0.460000,2.326664,9.069573
0.470000,2.419216,9.194890
0.480000,2.512952,9.315587
0.490000,2.607824,9.431604
0.500000,2.703786,9.542884
0.510000,2.800788,9.649372
0.520000,2.898782,9.751016
0.530000,2.997718,9.847767
0.540000,3.097548,9.939576
0.550000,3.198221,10.026398
0.560000,3.299687,10.108191
0.570000,3.401894,10.184916
0.580000,3.504792,10.256534
0.590000,3.608328,10.323011
0.600000,3.712452,10.384314
0.610000,3.817110,10.440414
0.620000,3.922251,10.491283
0.630000,4.027822,10.536898
0.640000,4.133770,10.577236
0.650000,4.240041,10.612277
0.660000,4.346583,10.642007
0.670000,4.453342,10.666410
0.680000,4.560266,10.685475
0.690000,4.667300,10.699194
0.700000,4.774390,10.707561
0.710000,4.881484,10.710573
0.720000,4.988528,10.708229
0.730000,5.095468,10.700531
0.740000,5.202251,10.687484
0.750000,5.308823,10.669096
0.760000,5.415132,10.645377
0.770000,5.521124,10.616339
0.780000,5.626746,10.581999
0.790000,5.731945,10.542374
0.800000,5.836669,10.497484
0.810000,5.940866,10.447355
0.820000,6.044483,10.392010
0.830000,6.147470,10.331480
0.840000,6.249774,10.265795
0.850000,6.351344,10.194989
0.860000,6.452130,10.119098
0.870000,6.552082,10.038162
0.880000,6.651150,9.952221
0.890000,6.749284,9.861320
0.900000,6.846436,9.765504
0.910000,6.942556,9.664823
0.920000,7.037598,9.559329
0.930000,7.131514,9.449073
0.940000,7.224258,9.334113
0.950000,7.315782,9.214507
0.960000,7.406041,9.090316
0.970000,7.494991,8.961602
0.980000,7.582588,8.828430
0.990000,7.668787,8.690869
1.000000,7.753546,8.548987
1.010000,7.836823,8.402856
1.020000,7.918577,8.252551
1.030000,7.998766,8.098146
1.040000,8.077352,7.939721
1.050000,8.154294,7.777354
1.060000,8.229555,7.611129
1.070000,8.303098,7.441128
1.080000,8.374886,7.267437
1.090000,8.444883,7.090144
1.100000,8.513056,6.909338
1.110000,8.579369,6.725111
1.120000,8.643791,6.537554
1.130000,8.706289,6.346763
1.140000,8.766832,6.152833
1.150000,8.825391,5.955862
1.160000,8.881937,5.755949
1.170000,8.936441,5.553194
1.180000,8.988878,5.347700
1.190000,9.039220,5.139568
1.200000,9.087444,4.928905
1.210000,9.133525,4.715816
1.220000,9.177441,4.500408
1.230000,9.219170,4.282788
1.240000,9.258692,4.063067
1.250000,9.295988,3.841354
1.260000,9.331039,3.617761
1.270000,9.363827,3.392400
1.280000,9.394338,3.165383
1.290000,9.422557,2.936825
1.300000,9.448469,2.706840
1.310000,9.472062,2.475543
1.320000,9.493324,2.243051
1.330000,9.512246,2.009479
1.340000,9.528819,1.774946
1.350000,9.543034,1.539567
1.360000,9.554885,1.303461
1.370000,9.564367,1.066747
1.380000,9.571474,0.829542
1.390000,9.576205,0.591965
1.400000,9.578556,0.354136
1.410000,9.578528,0.116173
1.420000,9.576120,-0.121805
