Time(s),edges
0.000004,0
0.000008,0
0.000012,0
0.000016,1
0.000020,0
0.000024,0
0.000028,1
0.000032,0
0.000036,1
0.000040,0
0.000044,0
0.000048,0
0.000052,0
0.000056,0
0.000060,0
0.000064,0
0.000068,0
0.000072,0
0.000076,0
0.000080,1
0.000084,0
0.000088,0
0.000092,0
0.000096,0
0.000100,0
0.000104,0
0.000108,0
0.000112,0
0.000116,0
0.000120,1
0.000124,0
0.000128,0
0.000132,0
0.000136,0
0.000140,0
0.000144,0
0.000148,0
0.000152,0
0.000156,0
0.000160,0
0.000164,0
0.000168,0
0.000172,0
0.000176,0
0.000180,0
0.000184,0
0.000188,0
0.000192,0
0.000196,0
0.000200,0
0.000205,0
0.000209,0
0.000213,0
0.000217,0
0.000221,0
0.000225,0
0.000229,1
0.000233,0
0.000237,0
0.000241,1
0.000245,0
0.000249,0
0.000253,0
0.000257,0
0.000261,0
0.000265,0
0.000269,0
0.000273,0
0.000277,0
0.000281,0
0.000285,0
0.000289,1
0.000293,0
0.000297,1
0.000301,0
0.000305,0
0.000309,0
0.000313,0
0.000317,0
0.000321,0
0.000325,0
0.000329,0
0.000333,0
0.000337,0
0.000341,0
0.000345,0
0.000349,0
0.000353,0
0.000357,0
0.000361,1
0.000365,0
0.000369,0
0.000373,0
0.000377,0
0.000381,0
0.000385,0
0.000389,0
0.000393,0
0.000397,0
0.000401,0
0.000405,0
0.000409,0
0.000413,0
0.000417,0
0.000421,0
0.000425,0
0.000429,0
0.000433,0
0.000437,0
0.000441,0
0.000445,0
0.000449,0
0.000453,0
0.000457,0
0.000461,0
0.000465,0
0.000469,0
0.000473,0
0.000477,1
0.000481,1
0.000485,0
0.000489,0
0.000493,0
0.000497,1
0.000501,1
0.000505,0
0.000509,1
0.000513,0
0.000517,0
0.000521,0
0.000525,0
0.000529,0
0.000533,0
0.000537,0
0.000541,0
0.000545,0
0.000549,0
0.000553,1
0.000557,0
0.000561,0
0.000565,1
0.000569,0
0.000573,0
0.000577,0
0.000581,0
0.000585,0
0.000589,0
0.000593,0
0.000597,0
0.000602,1
0.000606,0
0.000610,1
0.000614,0
0.000618,0
0.000622,1
0.000626,0
0.000630,0
0.000634,0
0.000638,0
0.000642,0
0.000646,0
0.000650,0
0.000654,0
0.000658,0
0.000662,0
0.000666,1
0.000670,0
0.000674,0
0.000678,0
0.000682,0
0.000686,0
0.000690,0
0.000694,0
0.000698,0
0.000702,0
0.000706,0
0.000710,0
0.000714,0
0.000718,1
0.000722,0
0.000726,0
0.000730,0
0.000734,0
0.000738,0
0.000742,0
0.000746,1
0.000750,0
0.000754,0
0.000758,0
0.000762,0
0.000766,0
0.000770,1
0.000774,0
0.000778,0
0.000782,0
0.000786,0
0.000790,0
0.000794,0
0.000798,0
0.000802,0
0.000806,1
0.000810,0
0.000814,0
0.000818,0
0.000822,0
0.000826,0
0.000830,0
0.000834,0
0.000838,0
0.000842,0
0.000846,1
0.000850,0
0.000854,0
0.000858,0
0.000862,0
0.000866,0
0.000870,0
0.000874,1
0.000878,0
0.000882,1
0.000886,0
0.000890,0
0.000894,0
0.000898,0
0.000902,0
0.000906,0
0.000910,0
0.000914,0
0.000918,0
0.000922,1
0.000926,0
0.000930,0
0.000934,0
0.000938,0
0.000942,0
0.000946,0
0.000950,0
0.000954,1
0.000958,0
0.000962,0
0.000966,0
